source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,source_name,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
6,right,4500.0,1977.0,12.0,,EXITMELSA(イグジットメルサ),東京都,中央区,1977.0,12.0,東京都中央区銀座5丁目7-10,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
13,left,4500.0,2020.0,11.0,,BINO栄(ビーノ栄),愛知県,名古屋市中区,2020.0,11.0,愛知県名古屋市中区錦3丁目24-17,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
16,left,4500.0,2008.0,5.0,,淀屋橋odona(淀屋橋オドナ),大阪府,大阪市中央区,2008.0,5.0,大阪府大阪市中央区今橋4丁目1-1,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
13,left,4500.0,2024.0,4.0,,IiINEマルシェ,静岡県,静岡市清水区,2024.0,4.0,静岡県静岡市清水区鳥坂860,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
15,left,4500.0,1997.0,10.0,,ゼスト御池,京都府,京都市中京区,1997.0,10.0,京都府京都市中京区下本能寺前町492-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
16,left,4500.0,1985.0,12.0,,tonarie南千里(トナリエ南千里),大阪府,吹田市,1985.0,12.0,大阪府吹田市津雲台1丁目1-30,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,left,4494.0,1996.0,4.0,,フジ垣生店,愛媛県,松山市,1996.0,4.0,愛媛県松山市西垣生町207-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
15,right,4488.0,1997.0,4.0,,丹波マーケス,京都府,船井郡京丹波町,1997.0,4.0,京都府船井郡京丹波町須知色紙田3-5,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
3,right,4480.0,1992.0,3.0,,カスミフードスクエア下妻店,茨城県,下妻市,1992.0,3.0,茨城県下妻市長塚24-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
21,left,4458.0,2017.0,9.0,,六本松421,福岡県,福岡市中央区,2017.0,9.0,福岡県福岡市中央区六本松4丁目2-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,right,4441.0,2007.0,12.0,,ユニゾンモール東中野,東京都,中野区,2007.0,12.0,東京都中野区東中野5丁目1-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
15,left,4426.0,1988.0,7.0,,平和堂石部店,滋賀県,湖南市,1988.0,7.0,滋賀県湖南市石部中央6丁目1-31,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,left,4425.0,2004.0,4.0,,ピアゴ各務原店,岐阜県,各務原市,2004.0,4.0,岐阜県各務原市那加桜町1丁目72-1,google_maps_partial_name_match_preferred; corrected_ocr_name_ビアゴ_to_ピアゴ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,right,4391.0,2002.0,12.0,,マックスバリュ熱海店,静岡県,熱海市,2002.0,12.0,静岡県熱海市中央町19-39,google_maps_partial_name_match_preferred; corrected_ocr_name_パリュ_to_バリュ; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
